"BehaviorSpace results (NetLogo 6.2.2)"
"lab1.nlogo"
"experiment-num-turtles-4world-size-iterate"
"10/08/2022 01:51:21:511 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"144","1","95","deterministic","poisson","25","3.5","992","212","3.5210090264038705","61.44182400651478"
"147","1","96","deterministic","poisson","20","3.5","668","135","2.5977816960372984","43.8477469492887"
"150","1","97","deterministic","poisson","15","3.5","292","51","1.7856606046069539","29.952038247082196"
"153","1","98","deterministic","poisson","10","3.5","114","23","0.9160518833955722","8.82659347950444"
"154","1","98","deterministic","poisson","15","3.5","424","88","2.9538671688104294","51.73429173850638"
"151","1","97","deterministic","poisson","20","3.5","886","130","2.4538451210453607","43.73185829102711"
"148","1","96","deterministic","poisson","25","3.5","1243","211","4.49828101373841","98.48557106453222"
"155","1","98","deterministic","poisson","20","3.5","687","103","3.3151852669684754","42.20938424020509"
"157","1","99","deterministic","poisson","10","3.5","140","31","2.2453505096857658","20.570881358546746"
"152","1","97","deterministic","poisson","25","3.5","1063","178","2.786708368930558","20.388107338812166"
"158","1","99","deterministic","poisson","15","3.5","387","89","2.1534679877011875","24.684350015852353"
"161","1","100","deterministic","poisson","10","3.5","160","36","1.4959909599527847","30.231324702059997"
"162","1","100","deterministic","poisson","15","3.5","404","75","2.4828214276321683","53.44327250354712"
"159","1","99","deterministic","poisson","20","3.5","719","104","2.670669086273308","45.71628375598523"
"156","1","98","deterministic","poisson","25","3.5","1258","192","3.735532980719819","79.5788528570163"
"163","1","100","deterministic","poisson","20","3.5","671","153","3.3937561932155607","117.66460753690912"
"160","1","99","deterministic","poisson","25","3.5","1214","292","5.441831461933111","95.8215597394089"
"164","1","100","deterministic","poisson","25","3.5","844","123","2.554477874292852","25.825355820409136"
