"[run number]","step-size","num-turtles","rw-type","world-size","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"110","1.27","70","conLdiscD","15","700","89","6.233404558339749","20.17726839012353"
"104","1.25","70","conLdiscD","25","1694","188","8.471489183727634","17.691064416513456"
"108","1.26","70","conLdiscD","25","1451","213","7.862694839033372","67.67520399489692"
"113","1.28","70","conLdiscD","10","247","33","3.4384494321707946","12.464911086555356"
"111","1.27","70","conLdiscD","20","926","180","7.615358287801564","54.53269589011308"
"114","1.28","70","conLdiscD","15","717","135","7.666316722449395","21.071148896200253"
"117","1.29","70","conLdiscD","10","227","52","4.833419483416943","10.511682996709714"
"115","1.28","70","conLdiscD","20","1041","131","6.399225969213049","58.105900201733675"
"118","1.29","70","conLdiscD","15","598","82","5.921090590574121","28.3557057590002"
"112","1.27","70","conLdiscD","25","1649","342","12.218430044436914","51.63398332122388"
"121","1.3","70","conLdiscD","10","216","41","3.629475821670364","15.011618997346691"
"116","1.28","70","conLdiscD","25","1712","212","8.430827953582694","65.67324495426796"
"122","1.3","70","conLdiscD","15","730","114","6.952723222654263","54.27154911443214"
"119","1.29","70","conLdiscD","20","1403","198","8.579324044473006","58.549008954079774"
"125","1.31","70","conLdiscD","10","193","57","4.952690188706268","15.852485320021211"
"126","1.31","70","conLdiscD","15","556","94","5.9533953098791725","24.286027787637604"
"123","1.3","70","conLdiscD","20","986","169","8.541853617117829","20.18299939893339"
"120","1.29","70","conLdiscD","25","2083","289","11.575190060288532","94.61011449343242"
"129","1.32","70","conLdiscD","10","239","39","3.9652985331735335","21.562799618151356"
"124","1.3","70","conLdiscD","25","1637","220","10.201629500913757","20.583595794294883"
